"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1252","test_hotel_list","test","Mon Mar 16 17:14:36 UTC 2026","passed","Mon Mar 16 17:14:37 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","2026","Hootel Login","test","Mon Mar 16 17:14:32 UTC 2026","passed","Mon Mar 16 17:14:34 UTC 2026","TestHootel","test_hootel","",""
